human_ensembl_gene_id,mouse_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_rna,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_prot
ENSG00000003393,Q920R0,ENSMUSG00000026024,1262.95687926322,-1.2974324369012613
ENSG00000003393,Q920R0,ENSMUSG00000026024,1262.95687926322,-1.2974324369012613
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,3281.89459339369,1.7397585980771102
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,3281.89459339369,1.7397585980771102
ENSG00000021826,Q8C196,ENSMUSG00000025991,40305.1191394407,3.989413319725107
ENSG00000021826,Q8C196,ENSMUSG00000025991,40305.1191394407,3.989413319725107
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1566.10632746636,0.18479873101637215
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1566.10632746636,0.18479873101637215
ENSG00000048162,Q9CPT5,ENSMUSG00000025869,286.714609388014,-0.1296446980455538
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,717.258770361224,-0.8505327219621706
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,717.258770361224,-0.8505327219621706
ENSG00000064012,O89110,ENSMUSG00000026029,335.087819677116,
ENSG00000064012,O89110,ENSMUSG00000026029,335.087819677116,
ENSG00000072135,Q61152,ENSMUSG00000026126,39.5918743755275,1.0299642003975886
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,297.112827224672,
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,297.112827224672,
ENSG00000075914,Q9D0M0,ENSMUSG00000025785,573.722310396993,-0.1552421676892867
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2313.994171639,1.1692050611423896
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2313.994171639,1.1692050611423896
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,3766.40450264635,1.5956694907400832
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,3766.40450264635,1.5956694907400832
ENSG00000103269,Q8VC82,ENSMUSG00000025735,123.793765504995,
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,1852.81411234546,-0.4758056108036244
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,1852.81411234546,-0.4758056108036244
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4810.61510490841,0.690034449061002
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4810.61510490841,0.690034449061002
ENSG00000182208,Q8VI63,ENSMUSG00000025147,284.81099873834,-0.5826834565998842
ENSG00000185624,P09103,ENSMUSG00000025130,29127.9295872368,1.9894554909649769
ENSG00000185624,P09103,ENSMUSG00000025130,29127.9295872368,1.9894554909649769
ENSG00000185664,Q60696,ENSMUSG00000025359,2.7766948024388,0.5465875513751661
ENSG00000185813,Q922E4,ENSMUSG00000025137,22303.1010698768,-0.24485725431130811
ENSG00000185813,Q922E4,ENSMUSG00000025137,22303.1010698768,-0.24485725431130811
ENSG00000187531,Q8BKJ9,ENSMUSG00000025138,1457.12171065457,0.2627545722116974
ENSG00000189221,Q64133,ENSMUSG00000025037,156.965433567002,-0.1595634458142028
ENSG00000189221,Q64133,ENSMUSG00000025037,156.965433567002,-0.1595634458142028
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,419.527541537247,0.005685683606846367
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,419.527541537247,0.005685683606846367
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,7454.5360820532,1.6530678773553342
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,7454.5360820532,1.6530678773553342
ENSG00000197728,P62855,ENSMUSG00000025362,4382.1007261582,1.0054546542006975
ENSG00000197728,P62855,ENSMUSG00000025362,4382.1007261582,1.0054546542006975
ENSG00000198682,O88428,ENSMUSG00000024899,2751.96116715477,1.4791382474828068
ENSG00000198682,O88428,ENSMUSG00000024899,2751.96116715477,1.4791382474828068
ENSG00000198814,Q64516,ENSMUSG00000025059,1655.14507987993,-2.267019496119706
ENSG00000198814,Q64516,ENSMUSG00000025059,1655.14507987993,-2.267019496119706
ENSG00000229894,Q64516,ENSMUSG00000025059,1655.14507987993,-2.267019496119706
ENSG00000229894,Q64516,ENSMUSG00000025059,1655.14507987993,-2.267019496119706
ENSG00000211456,Q9EP69,ENSMUSG00000025240,896.000456792817,0.5056536573964265
ENSG00000211456,Q9EP69,ENSMUSG00000025240,896.000456792817,0.5056536573964265
ENSG00000213614,P29416,ENSMUSG00000025232,616.195265331173,-0.19695398049302404
ENSG00000213614,P29416,ENSMUSG00000025232,616.195265331173,-0.19695398049302404
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2038.42814118206,0.2881178835983615
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2038.42814118206,0.2881178835983615
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,1762.7972040489,0.12016529932742599
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,1762.7972040489,0.12016529932742599
ENSG00000115459,Q91YP6,ENSMUSG00000056698,340.363959501712,0.7452202546413191
ENSG00000115525,O88829,ENSMUSG00000056091,2047.10039923183,
ENSG00000115525,O88829,ENSMUSG00000056091,2047.10039923183,
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,1067.51302749958,0.29106594165921085
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,1067.51302749958,0.29106594165921085
ENSG00000130402,P57780,ENSMUSG00000054808,3429.79413590448,0.5202651526713298
ENSG00000130402,P57780,ENSMUSG00000054808,3429.79413590448,0.5202651526713298
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,2091.98356121824,-0.3962949495499439
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,2091.98356121824,-0.3962949495499439
ENSG00000133020,P13542,ENSMUSG00000055775,0.952118017476672,-1.5105489071308094
