human_ensembl_gene_id,mouse_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_rna,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_prot
ENSG00000003393,Q920R0,ENSMUSG00000026024,929.607041750252,25.9
ENSG00000003393,Q920R0,ENSMUSG00000026024,929.607041750252,25.9
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,4523.09259707625,216.1
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,4523.09259707625,216.1
ENSG00000021826,Q8C196,ENSMUSG00000025991,61945.5995921398,1655.0
ENSG00000021826,Q8C196,ENSMUSG00000025991,61945.5995921398,1655.0
ENSG00000023228,Q91VD9,ENSMUSG00000025968,2198.40896519911,72.4
ENSG00000023228,Q91VD9,ENSMUSG00000025968,2198.40896519911,72.4
ENSG00000048162,Q9CPT5,ENSMUSG00000025869,395.125695877454,57.7
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,485.026272101493,30.4
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,485.026272101493,30.4
ENSG00000064012,O89110,ENSMUSG00000026029,312.228603829334,
ENSG00000064012,O89110,ENSMUSG00000026029,312.228603829334,
ENSG00000072135,Q61152,ENSMUSG00000026126,133.263460081041,136.0
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,278.473682211316,
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,278.473682211316,
ENSG00000075914,Q9D0M0,ENSMUSG00000025785,553.800458174309,61.0
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2886.0182443223,169.3
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2886.0182443223,169.3
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,3959.16813282067,242.6
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,3959.16813282067,242.6
ENSG00000103269,Q8VC82,ENSMUSG00000025735,62.039293191151,
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,1543.92379466437,39.2
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,1543.92379466437,39.2
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4108.34222487474,108.8
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4108.34222487474,108.8
ENSG00000182208,Q8VI63,ENSMUSG00000025147,336.952606071964,31.9
ENSG00000185624,P09103,ENSMUSG00000025130,33617.9397996889,320.6
ENSG00000185624,P09103,ENSMUSG00000025130,33617.9397996889,320.6
ENSG00000185664,Q60696,ENSMUSG00000025359,4.16180084467169,86.3
ENSG00000185813,Q922E4,ENSMUSG00000025137,13610.2684713594,54.0
ENSG00000185813,Q922E4,ENSMUSG00000025137,13610.2684713594,54.0
ENSG00000187531,Q8BKJ9,ENSMUSG00000025138,1127.33218844259,80.4
ENSG00000189221,Q64133,ENSMUSG00000025037,232.483621373791,36.3
ENSG00000189221,Q64133,ENSMUSG00000025037,232.483621373791,36.3
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,372.215510431883,58.8
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,372.215510431883,58.8
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,10142.7791390228,128.2
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,10142.7791390228,128.2
ENSG00000197728,P62855,ENSMUSG00000025362,5392.48748273167,140.7
ENSG00000197728,P62855,ENSMUSG00000025362,5392.48748273167,140.7
ENSG00000198682,O88428,ENSMUSG00000024899,4066.62161268505,174.4
ENSG00000198682,O88428,ENSMUSG00000024899,4066.62161268505,174.4
ENSG00000198814,Q64516,ENSMUSG00000025059,1894.12073853988,13.7
ENSG00000198814,Q64516,ENSMUSG00000025059,1894.12073853988,13.7
ENSG00000229894,Q64516,ENSMUSG00000025059,1894.12073853988,13.7
ENSG00000229894,Q64516,ENSMUSG00000025059,1894.12073853988,13.7
ENSG00000211456,Q9EP69,ENSMUSG00000025240,1254.76191804735,76.2
ENSG00000211456,Q9EP69,ENSMUSG00000025240,1254.76191804735,76.2
ENSG00000213614,P29416,ENSMUSG00000025232,691.487740234077,49.4
ENSG00000213614,P29416,ENSMUSG00000025232,691.487740234077,49.4
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2475.92115214126,73.9
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2475.92115214126,73.9
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,2571.44053815855,55.9
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,2571.44053815855,55.9
ENSG00000115459,Q91YP6,ENSMUSG00000056698,310.544979915024,108.5
ENSG00000115525,O88829,ENSMUSG00000056091,2501.79678993383,
ENSG00000115525,O88829,ENSMUSG00000056091,2501.79678993383,
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,1093.15685489119,72.7
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,1093.15685489119,72.7
ENSG00000130402,P57780,ENSMUSG00000054808,3064.27345842807,92.9
ENSG00000130402,P57780,ENSMUSG00000054808,3064.27345842807,92.9
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,2805.06673618605,53.2
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,2805.06673618605,53.2
ENSG00000133020,P13542,ENSMUSG00000055775,1.07030257002489,7.9
ENSG00000133020,P13542,ENSMUSG00000055775,1.07030257002489,7.9
ENSG00000133818,P62071,ENSMUSG00000055723,309.124622744785,44.9
ENSG00000133818,P62071,ENSMUSG00000055723,309.124622744785,44.9
ENSG00000137845,O35598,ENSMUSG00000054693,414.215945760468,40.4
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
ENSG00000139547,O88451,ENSMUSG00000040134,27565.5268500722,217.0
