human_ensembl_gene_id,mouse_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_GC_I_Rep2_M32_rna,Mmus_C57-6J_LVR_GC_I_Rep2_M32_prot
ENSG00000003393,Q920R0,ENSMUSG00000026024,1881.55703109394,26.7
ENSG00000003393,Q920R0,ENSMUSG00000026024,1881.55703109394,26.7
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,6231.46868463057,283.5
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,6231.46868463057,283.5
ENSG00000021826,Q8C196,ENSMUSG00000025991,90117.8658925364,1474.6
ENSG00000021826,Q8C196,ENSMUSG00000025991,90117.8658925364,1474.6
ENSG00000023228,Q91VD9,ENSMUSG00000025968,2298.3527993894,168.7
ENSG00000023228,Q91VD9,ENSMUSG00000025968,2298.3527993894,168.7
ENSG00000048162,Q9CPT5,ENSMUSG00000025869,493.985664758878,60.0
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,305.268681805271,11.0
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,305.268681805271,11.0
ENSG00000064012,O89110,ENSMUSG00000026029,385.472881547545,26.3
ENSG00000064012,O89110,ENSMUSG00000026029,385.472881547545,26.3
ENSG00000072135,Q61152,ENSMUSG00000026126,43.9691289834094,92.4
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,312.245184121167,19.7
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,312.245184121167,19.7
ENSG00000075914,Q9D0M0,ENSMUSG00000025785,325.532787587054,59.0
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,5707.10287165011,380.3
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,5707.10287165011,380.3
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,7499.431676116,174.7
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,7499.431676116,174.7
ENSG00000103269,Q8VC82,ENSMUSG00000025735,14.9066918893947,344.6
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,819.238539910624,22.4
