RSPO4
GLIPR1
IFT80
PLOD2
TSLP
LOXL2
CACNA2D1
SMC2
SERPINE2
TMEM200A
USP53
SLC35D3
FAM227B
GPR39
SERTAD4
PAPSS2
GALNT5
FAM20A
LAMA2
KRTAP4-12
FAM20C
DIO2
RNF128
SLC20A1
SERTAD4
RFX8
LRRC32
KCNK2
RGS4
HPS1
HPSE2
CNNM1
SNORA12
