ensembl_id,uniprot_id
ENSMUSG00000019854.18,O54916
ENSMUSG00000019856.15,"['A0A1W2P6K1', 'A0A1W2P7N4', 'F6RSY8', 'A0A1W2P7W6', 'A0A1W2P6N4', 'F6ZCT9', 'F6R487', 'E9QAL2', 'F6TU77', 'E9PW83']"
ENSMUSG00000019857.8,Q9CQE6
ENSMUSG00000019861.16,Q8BH60
ENSMUSG00000019863.8,Q9CZN8
ENSMUSG00000019864.15,"['D3Z792', 'A0A0R4J0S3']"
ENSMUSG00000019866.16,"['A0A5F8MPA5', 'A0A0G2JG52', 'E9PVP1']"
ENSMUSG00000019868.17,Q9CR26
ENSMUSG00000019872.14,P70158
ENSMUSG00000019873.9,Q99KK1
ENSMUSG00000019874.12,P51880
ENSMUSG00000019876.16,"['F7D7A9', 'Q3TZU5', 'H3BLG2']"
