ensembl_id,uniprot_id
ENSMUSG00000011306.8,Q8CH02
ENSMUSG00000011382.9,Q9DBB8
ENSMUSG00000011427.17,Q80ZX2
ENSMUSG00000011463.6,B2RS76
ENSMUSG00000011589.10,Q7TPM6
ENSMUSG00000011632.8,Q9CQD7
ENSMUSG00000011658.17,Q3UYI6
ENSMUSG00000011751.17,"['D3YWH8', 'E9PZC2', 'E9PX29', 'Q91ZE6']"
ENSMUSG00000011752.8,Q9DBJ1
ENSMUSG00000011831.17,"['E9Q7X9', 'Q3TMK4', 'E9Q9B1', 'E9PWR7', 'F8VPT6']"
ENSMUSG00000011832.17,"['H3BLD3', 'A0A6I8MWZ4', 'H3BL92', 'H3BJ67', 'H3BJ57', 'H3BKQ3', 'H3BJX1']"
ENSMUSG00000011837.5,Q91XA5
